Crop,State,District,Yield,Area,CSensitivity,Total_Harvest_Area,Cost,Calorie,MSP,Harvest Price,Profit_MSP,Profit_HP,Procurement,Profit
fng,1,Adilabad,NA,0,-8.808057135,27.5747,613,320,2897,2037.962141,2284,1424.962141,0,1424.962141
mze,1,Adilabad,2.960185022,6.7921,-9.033315498,27.5747,638,334,1700,1273.036037,1062,635.0360369,0,635.0360369
prl,1,Adilabad,0.512366833,0.138,-8.808057135,27.5747,695,348,1950,3888.225011,1255,3193.225011,0,3193.225011
rice,1,Adilabad,2.113520212,7.0577,-14.76999998,27.5747,694,356,1750,2002.443792,1056,1308.443792,0,1308.443792
srgk,1,Adilabad,1.714612812,13.5869,-4.44612716,27.5747,698,334,2450,1432.073346,1752,734.0733464,0,734.0733464
fng,1,Anantapur,1.587505991,0.1662,-8.964806871,10.4367,613,320,2897,1992.070524,2284,1379.070524,0,1379.070524
mze,1,Anantapur,4.204119162,2.9047,-11.67788795,10.4367,638,334,1700,1295.247295,1062,657.2472951,0,657.2472951
prl,1,Anantapur,1.023519687,0.2339,-8.964806871,10.4367,695,348,1950,1496.522707,1255,801.5227068,0,801.5227068
rice,1,Anantapur,2.369453885,0.0634,-33.06499958,10.4367,694,356,1750,2191.422558,1056,1497.422558,0,1497.422558
srgk,1,Anantapur,0.774616252,7.0685,-15.09851527,10.4367,698,334,2450,2014.98351,1752,1316.98351,0,1316.98351
fng,1,Chittoor,1.002939428,3.8298,-4.545168554,5.646,613,320,2897,1927.851062,2284,1314.851062,0,1314.851062
mze,1,Chittoor,4.71421825,0.1983,-6.649435027,5.646,638,334,1700,1304.927237,1062,666.9272366,0,666.9272366
prl,1,Chittoor,1.320930932,0.6884,-4.545168554,5.646,695,348,1950,1352.667755,1255,657.667755,0,657.667755
rice,1,Chittoor,2.513609564,0.3171,NA,5.646,694,356,1750,2345.923521,1056,1651.923521,0,1651.923521
srgk,1,Chittoor,0.846327577,0.6124,-11.7986667,5.646,698,334,2450,1808.645803,1752,1110.645803,0,1110.645803
fng,1,Cuddapah,1.355018683,0.004,-4.779877301,2.2953,613,320,2897,2501.0295,2284,1888.0295,0,1888.0295
mze,1,Cuddapah,5.121857895,0.0456,-5.388859056,2.2953,638,334,1700,1409.846954,1062,771.846954,0,771.846954
